related_to,id
B2AI_STANDARD:202,['B2AI_SUBSTRATE:9']
B2AI_STANDARD:218,['B2AI_SUBSTRATE:16']
B2AI_STANDARD:286,['B2AI_SUBSTRATE:40']
B2AI_STANDARD:307,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:308,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:314,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:315,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:316,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:33,['B2AI_SUBSTRATE:3']
B2AI_STANDARD:331,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:339,['B2AI_SUBSTRATE:16']
B2AI_STANDARD:340,['B2AI_SUBSTRATE:16']
B2AI_STANDARD:344,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:346,['B2AI_SUBSTRATE:21']
B2AI_STANDARD:347,"['B2AI_SUBSTRATE:41', 'B2AI_SUBSTRATE:6']"
B2AI_STANDARD:351,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:352,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:354,"['B2AI_SUBSTRATE:27', 'B2AI_SUBSTRATE:33', 'B2AI_SUBSTRATE:42']"
B2AI_STANDARD:356,['B2AI_SUBSTRATE:49']
B2AI_STANDARD:357,['B2AI_SUBSTRATE:28']
B2AI_STANDARD:359,['B2AI_SUBSTRATE:30']
B2AI_STANDARD:36,['B2AI_SUBSTRATE:53']
B2AI_STANDARD:362,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:374,['B2AI_SUBSTRATE:42']
B2AI_STANDARD:375,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:377,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:378,"['B2AI_SUBSTRATE:41', 'B2AI_SUBSTRATE:6']"
B2AI_STANDARD:379,['B2AI_SUBSTRATE:16']
B2AI_STANDARD:383,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:384,['B2AI_SUBSTRATE:52']
B2AI_STANDARD:387,"['B2AI_SUBSTRATE:48', 'B2AI_SUBSTRATE:49']"
B2AI_STANDARD:390,['B2AI_SUBSTRATE:19']
B2AI_STANDARD:392,"['B2AI_SUBSTRATE:1', 'B2AI_SUBSTRATE:50']"
B2AI_STANDARD:394,"['B2AI_SUBSTRATE:1', 'B2AI_SUBSTRATE:24', 'B2AI_SUBSTRATE:51']"
B2AI_STANDARD:395,['B2AI_SUBSTRATE:52']
B2AI_STANDARD:401,['B2AI_SUBSTRATE:33']
B2AI_STANDARD:705,['B2AI_SUBSTRATE:40']
B2AI_STANDARD:71,['B2AI_SUBSTRATE:16']
B2AI_STANDARD:712,['B2AI_SUBSTRATE:9']
B2AI_STANDARD:722,['B2AI_SUBSTRATE:1']
B2AI_STANDARD:735,['B2AI_SUBSTRATE:4']
B2AI_STANDARD:765,['B2AI_SUBSTRATE:33']
B2AI_STANDARD:768,"['B2AI_SUBSTRATE:14', 'B2AI_SUBSTRATE:15']"
