id	category	name	description	contributor_name	contributor_github_name	contributor_orcid	collection	concerns_data_topic	purpose_detail	is_open	requires_registration	url	formal_specification	used_in_bridge2ai	responsible_organization	has_application_json	has_application_name	has_application_id	has_application_references	has_application_description	has_application_category	has_application_used_in_bridge2ai	publication	related_to	has_training_resource	has_relevant_data_substrate	has_relevant_organization	subclass_of	contribution_date
B2AI_STANDARD:1	B2AI_STANDARD:BiomedicalStandard	.ACE format	.ACE format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	The ACE file format is a specification for storing data about genomic contigs. The original ACE format was developed for use with Consed, a program for viewing, editing, and finishing DNA sequence assemblies. ACE files are generated by various assembly programs, including Phrap, CAP3, Newbler, Arachne, AMOS (sequence assembly) (more specifically Minimo) and Tigr Assembler v2.	True	False	https://en.wikipedia.org/wiki/ACE_(genomic_file_format)	https://web.archive.org/web/20100609072313/http://bcr.musc.edu/manuals/CONSED.txt																
B2AI_STANDARD:2	B2AI_STANDARD:BiomedicalStandard	DMS	2023 NIH Data Management and Sharing Policy	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[policy]	[B2AI_TOPIC:5]	NIH has issued the Data Management and Sharing (DMS) policy (effective January 25, 2023) to promote the sharing of scientific data. Sharing scientific data accelerates biomedical research discovery, in part, by enabling validation of research results, providing accessibility to high-value datasets, and promoting data reuse for future research studies. Under the DMS policy, NIH expects that investigators and institutions do the following. Plan and budget for the managing and sharing of data, Submit a DMS plan for review when applying for funding, Comply with the approved DMS plan.	True	False	https://sharing.nih.gov/data-management-and-sharing-policy/about-data-management-and-sharing-policy/data-management-and-sharing-policy-overview		True	[B2AI_ORG:67]														
B2AI_STANDARD:3	B2AI_STANDARD:BiomedicalStandard	ABCD	Access to Biological Collections Data Schema	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[datamodel]	[B2AI_TOPIC:1]	The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data). The ABCD Schema attempts to be comprehensive and highly structured, supporting data from a wide variety of databases. It is compatible with several existing data standards. Parallel structures exist so that either (or both) atomised data and free-text can be accommodated. Version 1.2 is currently in use with the GBIF (Global Biodiversity Information Facility) and BioCASE (Biological Collection Access Service for Europe) networks. Apart from the GBIF and BioCASE networks, the potential for the application of ABCD extends to internal networks, or in-house legacy data access (e.g. datasets from external sources that shall not be converted and integrated into an institution's own data, but be kept separately, though easily accessible). By defining relations between terms, ABCD is a step towards an ontology for biological collections.	True	False	https://abcd.tdwg.org/			[B2AI_ORG:93]	[{\"id\": \"B2AI_APP:1\", \"category\": \"B2AI:Application\", \"name\": \"DiSSCo Digital Specimen Architecture AI-Assisted Curation\", \"description\": \"The Digital Specimen Architecture uses FAIR Digital Object type descriptions based on TDWG standards including ABCD. This enables registered AI services to automatically discover digital specimens, execute allowed actions, and attach machine-readable annotations such as automated extraction from images, relation creation for knowledge graphs, and standardization or correction. ABCD defines the object structure and attributes in the FDO, allowing AI services to operate uniformly across collections and propagate outputs to aggregators such as GBIF and GeoCASe.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.3897/biss.7.112678\"]}, {\"id\": \"B2AI_APP:102\", \"category\": \"B2AI:Application\", \"name\": \"Hespi Computer Vision and OCR Pipeline for Herbarium Sheets\", \"description\": \"Hespi integrates object detection, OCR and handwriting recognition, and a multimodal LLM for post-processing and authority control in herbarium digitization. The pipeline explicitly situates digitization within community standards, citing ABCD alongside Darwin Core. Extracted fields from labels and sheet components are mapped to ABCD and DwC fields to produce interoperable records consumable by downstream AI and analytics systems.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.48550/arxiv.2410.08740\"]}, {\"id\": \"B2AI_APP:103\", \"category\": \"B2AI:Application\", \"name\": \"ML-Ready Benchmark Datasets via ABCD Standardization\", \"description\": \"Work on improving transcribed digital specimen data highlights ABCD and Darwin Core as the target schema for interoperable outputs and schema-based annotation systems such as AnnoSys. This ecosystem underpins ML-ready benchmark datasets for herbarium images and semi-automated workflows for data cleaning and georeferencing, facilitating training and evaluation of computer vision and NLP models while keeping outputs in ABCD and DwC formats for data exchange.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.1093/database/baz129\"]}]	[DiSSCo Digital Specimen Architecture AI-Assisted Curation|Hespi Computer Vision and OCR Pipeline for Herbarium Sheets|ML-Ready Benchmark Datasets via ABCD Standardization]	[B2AI_APP:1|B2AI_APP:102|B2AI_APP:103]	[['https://doi.org/10.3897/biss.7.112678']|['https://doi.org/10.48550/arxiv.2410.08740']|['https://doi.org/10.1093/database/baz129']]	[The Digital Specimen Architecture uses FAIR Digital Object type descriptions based on TDWG standards including ABCD. This enables registered AI services to automatically discover digital specimens, execute allowed actions, and attach machine-readable annotations such as automated extraction from images, relation creation for knowledge graphs, and standardization or correction. ABCD defines the object structure and attributes in the FDO, allowing AI services to operate uniformly across collections and propagate outputs to aggregators such as GBIF and GeoCASe.|Hespi integrates object detection, OCR and handwriting recognition, and a multimodal LLM for post-processing and authority control in herbarium digitization. The pipeline explicitly situates digitization within community standards, citing ABCD alongside Darwin Core. Extracted fields from labels and sheet components are mapped to ABCD and DwC fields to produce interoperable records consumable by downstream AI and analytics systems.|Work on improving transcribed digital specimen data highlights ABCD and Darwin Core as the target schema for interoperable outputs and schema-based annotation systems such as AnnoSys. This ecosystem underpins ML-ready benchmark datasets for herbarium images and semi-automated workflows for data cleaning and georeferencing, facilitating training and evaluation of computer vision and NLP models while keeping outputs in ABCD and DwC formats for data exchange.]	[B2AI:Application|B2AI:Application|B2AI:Application]	[False|False|False]							
B2AI_STANDARD:4	B2AI_STANDARD:BiomedicalStandard	AGP	AGP format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	AGP format describes the assembly of a larger sequence object from smaller objects. The large object can be a contig, a scaffold (supercontig), or a chromosome. Each line (row) of the AGP file describes a different piece of the object, and has the column entries defined below. Extended comments follow. It does not serve for either a description of how sequence reads were assembled, or a description of the alignments between components used to construct a larger object. Not all of the information in proprietary assembly files can be represented in the AGP format. It is also not for recording the spans of features like repeats or genes.	True	False	https://www.ncbi.nlm.nih.gov/assembly/agp/AGP_Specification/			[B2AI_ORG:120]														
B2AI_STANDARD:5	B2AI_STANDARD:BiomedicalStandard	AnIML	Analytical Information Markup Language	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[markuplanguage]	[B2AI_TOPIC:3]	The Analytical Information Markup Language (AnIML) is the emerging ASTM XML standard for analytical chemistry data. It is currently in pre-release form. It is a combination of a highly flexible core schema that defines XML tagging for any kind of analytical information; A set of technique definition documents. These XML files, one per analytical technique, apply tight constraints to the flexible core and in turn are defined by the Technique Schema; Extensions to Technique Definitions are possible to accommodate vendor- and institution-specific data fields. Mission Statement Our goal is to serve as the open-source development platform for a new XML standard for Analytical Chemistry Information. The project is a collaborative effort between many groups and individuals and is sanctioned by the ASTM subcommittee E13.15. http://animl.cvs.sourceforge.net/viewvc/animl/schema/animl-core.xsd	True	False	https://www.animl.org/			[B2AI_ORG:8]														
B2AI_STANDARD:6	B2AI_STANDARD:BiomedicalStandard	ARRIVE	Animal Research Reporting In Vivo Experiments	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[guidelines]	[B2AI_TOPIC:5]	Guidelines intended to improve the reporting of animal experiments.	True	False	https://arriveguidelines.org/			[B2AI_ORG:121]								doi:10.1371/journal.pbio.3000411						
B2AI_STANDARD:7	B2AI_STANDARD:BiomedicalStandard	aECG	Annotated ECG standard	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831		[B2AI_TOPIC:37]	Provides a common means of electronically storing both the ECG wave form and associated annotations.	True	False	https://www.hl7.org/implement/standards/product_brief.cfm?product_id=70	https://www.hl7.org/implement/standards/product_brief.cfm?product_id=70		[B2AI_ORG:40]														
B2AI_STANDARD:8	B2AI_STANDARD:BiomedicalStandard	AIM	Annotation and Image Markup schema	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831		[B2AI_TOPIC:9|B2AI_TOPIC:15]	The Annotation and Image Markup (AIM) project is the first initiative to propose and create a standard means of adding information and knowledge to medical images in a clinical environment, enabling automatic searching of image content. AIM provides a comprehensive solution to imaging challenges including the lack of agreed-upon syntax for annotation and markup, standardized semantics for annotations, and common formats for annotations and markup. The AIM Model captures descriptive information for images with user-generated graphical symbols into a single common information source. The project includes multiple components: the AIM Template Service (a web service for uploading and downloading AIM templates), the AIM Template Builder (a Java application for creating templates with well-defined questions and answer choices), and reference implementations like AIM on ClearCanvas Workstation. AIM captures results in terms of image regions of interest, semantic descriptions, inferences, calculations, and quantitative features derived by computer programs. It is interoperable with DICOM-SR and HL7-CDA standards while providing unique advantages through an explicit semantic model of imaging results.	True	False	https://github.com/NCIP/annotation-and-image-markup	https://github.com/NCIP/annotation-and-image-markup		[B2AI_ORG:71]	[{\"id\": \"B2AI_APP:2\", \"category\": \"B2AI:Application\", \"name\": \"PACS-to-AIM Conversion for ML-Ready Label Generation\", \"description\": \"A deployed workflow converts proprietary vendor DICOM presentation state annotations from commercial PACS systems into AIM XML using the AIM API, enabling standardization of legacy radiologist annotations for machine learning. A Python module matches lesions across longitudinal studies via 3D coordinates, producing AIM files that are imported into ePAD where lesions are linked over time and quantitative metrics are computed. This AIM conversion pipeline unlocks historical radiologist annotations from PACS for supervised training, radiomics pipelines, and generation of high-quality labeled datasets for deep learning, while ensuring interoperability and enabling large-scale analysis across institutions.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.1007/s10278-019-00191-6\"]}, {\"id\": \"B2AI_APP:104\", \"category\": \"B2AI:Application\", \"name\": \"ePAD AIM-Based Radiomics and ML Data Platform\", \"description\": \"ePAD stores annotations and quantitative imaging features in AIM XML and exposes RESTful web services allowing plugins and external tools to retrieve AIM annotations and associated images for downstream analysis. Plugins compute biomarkers and save results back into AIM format, while integrations with external pipelines such as QIFP and pyRadiomics enable feature extraction with outputs persisted in AIM. This AIM-centric architecture facilitates standardized training data management, radiomic feature extraction, and programmatic access for machine learning workflows, cohort analyses, and interoperable analytics environments for quantitative imaging research.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.18383/j.tom.2018.00055\"]}]	[PACS-to-AIM Conversion for ML-Ready Label Generation|ePAD AIM-Based Radiomics and ML Data Platform]	[B2AI_APP:2|B2AI_APP:104]	[['https://doi.org/10.1007/s10278-019-00191-6']|['https://doi.org/10.18383/j.tom.2018.00055']]	[A deployed workflow converts proprietary vendor DICOM presentation state annotations from commercial PACS systems into AIM XML using the AIM API, enabling standardization of legacy radiologist annotations for machine learning. A Python module matches lesions across longitudinal studies via 3D coordinates, producing AIM files that are imported into ePAD where lesions are linked over time and quantitative metrics are computed. This AIM conversion pipeline unlocks historical radiologist annotations from PACS for supervised training, radiomics pipelines, and generation of high-quality labeled datasets for deep learning, while ensuring interoperability and enabling large-scale analysis across institutions.|ePAD stores annotations and quantitative imaging features in AIM XML and exposes RESTful web services allowing plugins and external tools to retrieve AIM annotations and associated images for downstream analysis. Plugins compute biomarkers and save results back into AIM format, while integrations with external pipelines such as QIFP and pyRadiomics enable feature extraction with outputs persisted in AIM. This AIM-centric architecture facilitates standardized training data management, radiomic feature extraction, and programmatic access for machine learning workflows, cohort analyses, and interoperable analytics environments for quantitative imaging research.]	[B2AI:Application|B2AI:Application]	[False|False]		[B2AI_STANDARD:98]	[B2AI_STANDARD:849]	[B2AI_SUBSTRATE:11]			
B2AI_STANDARD:9	B2AI_STANDARD:BiomedicalStandard	ANSI/CTA-2090	ANSI/CTA Standard - The Use of Artificial Intelligence in Health Care Trustworthiness	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[guidelines]	[B2AI_TOPIC:5]	This standard outlines key principles for ensuring trustworthiness in AI applications within healthcare, focusing on human trust, technical reliability, and regulatory compliance. It provides a framework for evaluating AI systems in clinical settings, emphasizing transparency, accountability, and ethical considerations.	False	False	https://shop.cta.tech/products/cta-2090			[B2AI_ORG:4|B2AI_ORG:122]	[{\"id\": \"B2AI_APP:3\", \"category\": \"B2AI:Application\", \"name\": \"Pre-Development ML Scoping and Data Provenance Documentation\", \"description\": \"CTA-2090 recommends concrete developer actions for AI/ML workflows including listing potential use cases before development to properly scope algorithm functionality and limits, documenting whether datasets are raw or pre-processed and what preprocessing was performed, and understanding how original data were collected to identify potential biases. These practices operationalize the standard's emphasis on clear intended use, data lineage, traceability, and documentation requirements for trustworthy ML pipelines in healthcare, ensuring teams establish proper foundations during planning and data preparation stages.\", \"used_in_bridge2ai\": false, \"references\": [\"https://www.fdli.org/wp-content/uploads/2023/01/9-Ross.pdf\"]}, {\"id\": \"B2AI_APP:105\", \"category\": \"B2AI:Application\", \"name\": \"Bias Assessment and Post-Deployment Monitoring\", \"description\": \"CTA-2090 guidance is applied through explicit testing for racial and other biases including testing on vulnerable populations, contractual diversity and representation benchmarks for training data, and inventories to review, screen, retrain, and prevent bias during development. Post-deployment operationalization includes ongoing real-world testing after approval and continuous review of algorithm results during clinical use. These practices implement the standard's expectations for bias identification, mitigation, representative data, lifecycle monitoring, and real-world performance auditing in healthcare AI systems.\", \"used_in_bridge2ai\": false, \"references\": [\"https://www.fdli.org/wp-content/uploads/2023/01/9-Ross.pdf\"]}, {\"id\": \"B2AI_APP:106\", \"category\": \"B2AI:Application\", \"name\": \"Z-Inspection Stakeholder Co-Design and Trust Assessment\", \"description\": \"Healthcare AI systems apply CTA-2090 trustworthiness principles through Z-Inspection, an ethically aligned co-design methodology involving interdisciplinary stakeholders to examine ethical, technical, medical, and legal implications during development and deployment. Assessments uncover dataset bias risks, deployment shortcomings such as accent-related accuracy degradation, and protocol effects on ML output accuracy. Recommended practices include building explainability into models, documenting how decisions are generated, and conducting real-world validation that translates the standard's transparency, fairness, and reproducibility dimensions into concrete governance and evaluation activities.\", \"used_in_bridge2ai\": false, \"references\": [\"https://doi.org/10.48550/arxiv.2206.09887\"]}]	[Pre-Development ML Scoping and Data Provenance Documentation|Bias Assessment and Post-Deployment Monitoring|Z-Inspection Stakeholder Co-Design and Trust Assessment]	[B2AI_APP:3|B2AI_APP:105|B2AI_APP:106]	[['https://www.fdli.org/wp-content/uploads/2023/01/9-Ross.pdf']|['https://www.fdli.org/wp-content/uploads/2023/01/9-Ross.pdf']|['https://doi.org/10.48550/arxiv.2206.09887']]	[CTA-2090 recommends concrete developer actions for AI/ML workflows including listing potential use cases before development to properly scope algorithm functionality and limits, documenting whether datasets are raw or pre-processed and what preprocessing was performed, and understanding how original data were collected to identify potential biases. These practices operationalize the standard's emphasis on clear intended use, data lineage, traceability, and documentation requirements for trustworthy ML pipelines in healthcare, ensuring teams establish proper foundations during planning and data preparation stages.|CTA-2090 guidance is applied through explicit testing for racial and other biases including testing on vulnerable populations, contractual diversity and representation benchmarks for training data, and inventories to review, screen, retrain, and prevent bias during development. Post-deployment operationalization includes ongoing real-world testing after approval and continuous review of algorithm results during clinical use. These practices implement the standard's expectations for bias identification, mitigation, representative data, lifecycle monitoring, and real-world performance auditing in healthcare AI systems.|Healthcare AI systems apply CTA-2090 trustworthiness principles through Z-Inspection, an ethically aligned co-design methodology involving interdisciplinary stakeholders to examine ethical, technical, medical, and legal implications during development and deployment. Assessments uncover dataset bias risks, deployment shortcomings such as accent-related accuracy degradation, and protocol effects on ML output accuracy. Recommended practices include building explainability into models, documenting how decisions are generated, and conducting real-world validation that translates the standard's transparency, fairness, and reproducibility dimensions into concrete governance and evaluation activities.]	[B2AI:Application|B2AI:Application|B2AI:Application]	[False|False|False]							
B2AI_STANDARD:10	B2AI_STANDARD:BiomedicalStandard	AB1	Applied Biosystems sequence read binary format file	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	A binary version of raw DNA sequence reads from Applied Biosystems sequencing analysis software. Also known as ABIF.	False	False	https://www.thermofisher.com/us/en/home/life-science/sequencing/sanger-sequencing.html			[B2AI_ORG:123]														
