"id","acronym","name","category","description","collections","hasAIApplication","isMature","concerns_data_topic","has_relevant_organization","responsible_organization","isOpen","registration","URL","formalSpec","publication","trainingResources","subclassOf","contributionDate","relatedTo","usedInBridge2AI","topic","relevantOrgNames","responsibleOrgAcronym","responsibleOrgName"
"B2AI_STANDARD:1",".ACE format",".ACE format","Biomedical Standard","The ACE file format is a specification for storing data about genomic contigs. The original ACE format was developed for use with Consed, a program for viewing, editing, and finishing DNA sequence assemblies. ACE files are generated by various assembly programs, including Phrap, CAP3, Newbler, Arachne, AMOS (sequence assembly) (more specifically Minimo) and Tigr Assembler v2.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,,"Yes","No","https://en.wikipedia.org/wiki/ACE_(genomic_file_format)","https://web.archive.org/web/20100609072313/http://bcr.musc.edu/manuals/CONSED.txt",,,,,,"No","[""Gene"", ""Genome""]",,,
"B2AI_STANDARD:2","DMS","2023 NIH Data Management and Sharing Policy","Biomedical Standard","NIH has issued the Data Management and Sharing (DMS) policy (effective January 25, 2023) to promote the sharing of scientific data. Sharing scientific data accelerates biomedical research discovery, in part, by enabling validation of research results, providing accessibility to high-value datasets, and promoting data reuse for future research studies. Under the DMS policy, NIH expects that investigators and institutions do the following. Plan and budget for the managing and sharing of data, Submit a DMS plan for review when applying for funding, Comply with the approved DMS plan.","[""policy""]","No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:67""]","[""B2AI_ORG:67""]","Yes","No","https://sharing.nih.gov/data-management-and-sharing-policy/about-data-management-and-sharing-policy/data-management-and-sharing-policy-overview",,,,,,,"Yes","[""Data""]","[""NIH""]","[""NIH""]","[""National Institutes of Health""]"
"B2AI_STANDARD:3","ABCD","Access to Biological Collections Data Schema","Biomedical Standard","The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data). The ABCD Schema attempts to be comprehensive and highly structured, supporting data from a wide variety of databases. It is compatible with several existing data standards. Parallel structures exist so that either (or both) atomised data and free-text can be accommodated. Version 1.2 is currently in use with the GBIF (Global Biodiversity Information Facility) and BioCASE (Biological Collection Access Service for Europe) networks. Apart from the GBIF and BioCASE networks, the potential for the application of ABCD extends to internal networks, or in-house legacy data access (e.g. datasets from external sources that shall not be converted and integrated into an institution's own data, but be kept separately, though easily accessible). By defining relations between terms, ABCD is a step towards an ontology for biological collections.","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:1""]","[""B2AI_ORG:93""]","[""B2AI_ORG:93""]","Yes","No","https://abcd.tdwg.org/",,,,,,,"No","[""Biology""]","[""TDWG""]","[""TDWG""]","[""Biodiversity Information Standards""]"
"B2AI_STANDARD:4","AGP","AGP format","Biomedical Standard","AGP format describes the assembly of a larger sequence object from smaller objects. The large object can be a contig, a scaffold (supercontig), or a chromosome. Each line (row) of the AGP file describes a different piece of the object, and has the column entries defined below. Extended comments follow. It does not serve for either a description of how sequence reads were assembled, or a description of the alignments between components used to construct a larger object. Not all of the information in proprietary assembly files can be represented in the AGP format. It is also not for recording the spans of features like repeats or genes.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:120""]","Yes","No","https://www.ncbi.nlm.nih.gov/assembly/agp/AGP_Specification/",,,,,,,"No","[""Gene"", ""Genome""]",,"[""NCBI""]","[""National Center for Biotechnology Information""]"
"B2AI_STANDARD:5","AnIML","Analytical Information Markup Language","Biomedical Standard","The Analytical Information Markup Language (AnIML) is the emerging ASTM XML standard for analytical chemistry data. It is currently in pre-release form. It is a combination of a highly flexible core schema that defines XML tagging for any kind of analytical information; A set of technique definition documents. These XML files, one per analytical technique, apply tight constraints to the flexible core and in turn are defined by the Technique Schema; Extensions to Technique Definitions are possible to accommodate vendor- and institution-specific data fields. Mission Statement Our goal is to serve as the open-source development platform for a new XML standard for Analytical Chemistry Information. The project is a collaborative effort between many groups and individuals and is sanctioned by the ASTM subcommittee E13.15. http://animl.cvs.sourceforge.net/viewvc/animl/schema/animl-core.xsd","[""markuplanguage""]","No","No","[""B2AI_TOPIC:3""]","[""B2AI_ORG:8""]","[""B2AI_ORG:8""]","Yes","No","https://www.animl.org/",,,,,,,"No","[""Cheminformatics""]","[""ASTM""]","[""ASTM""]","[""ASTM International""]"
"B2AI_STANDARD:6","ARRIVE","Animal Research Reporting In Vivo Experiments","Biomedical Standard","Guidelines intended to improve the reporting of animal experiments.","[""guidelines""]","No","No","[""B2AI_TOPIC:5""]",,"[""B2AI_ORG:121""]","Yes","No","https://arriveguidelines.org/",,"doi:10.1371/journal.pbio.3000411",,,,,"No","[""Data""]",,"[""NC3Rs""]","[""National Centre for the Replacement, Refinement and Reduction of Animals in Research""]"
"B2AI_STANDARD:7","aECG","Annotated ECG standard","Biomedical Standard","Provides a common means of electronically storing both the ECG wave form and associated annotations.",,"No","No","[""B2AI_TOPIC:37""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No",,"https://www.hl7.org/implement/standards/product_brief.cfm?product_id=70",,,,,,"No","[""Waveform""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:8","AIM","Annotation and Image Markup schema","Biomedical Standard","The Annotation and Image Markup project provides a standardized schema for capturing the results of medical imaging exams, primarily radiology, using controlled terminologies/ontologies. AIM captures results in terms of the region within an image in which areas of interest are located, the semantic descriptions of those regions, inferences about them, calculations on them, and quantitative features derived by computer programs run on them. AIM is interoperable with DICOM-SR and HL7-CDA, other standards for image metadata, but it provides unique advantages by providing an explicit semantic model of imaging results.","[""has_ai_application""]","Yes","No","[""B2AI_TOPIC:9"", ""B2AI_TOPIC:15""]","[""B2AI_ORG:71""]","[""B2AI_ORG:71""]","Yes","No",,"https://github.com/NCIP/annotation-and-image-markup",,"[""B2AI_STANDARD:849""]",,,"[""B2AI_STANDARD:98""]","No","[""EHR"", ""Image""]","[""NIH NCI""]","[""NIH NCI""]","[""NIH National Cancer Institute""]"
"B2AI_STANDARD:9","ANSI/CTA-2090","ANSI/CTA Standard - The Use of Artificial Intelligence in Health Care Trustworthiness","Biomedical Standard","AI in healthcare; three major expressions of how trust is created and maintained - Human Trust, Technical Trust, and Regulatory Trust.","[""guidelines"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:4""]","[""B2AI_ORG:4"", ""B2AI_ORG:122""]","No","No","https://shop.cta.tech/collections/standards/products/the-use-of-artificial-intelligence-in-healthcare-trustworthiness-cta-2090",,,,,,,"No","[""Data""]","[""ANSI""]","[""ANSI"", ""CTA""]","[""American National Standards Institute"", ""Consumer Technology Association""]"
"B2AI_STANDARD:10","AB1","Applied Biosystems sequence read binary format file","Biomedical Standard","A binary version of raw DNA sequence reads from Applied Biosystems sequencing analysis software. Also known as ABIF.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:123""]","No","No",,,,,,,,"No","[""Gene"", ""Genome""]",,"[""Thermo Fisher""]","[""Thermo Fisher Scientific Inc.""]"
